GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mail-verify-backend,at.fhv.mail_verify.models,HistoryItem,33,0,0,0,13,0,7,0,7,0
mail-verify-backend,at.fhv.mail_verify.models,User,13,20,0,0,5,8,4,3,4,3
mail-verify-backend,at.fhv.mail_verify.models,VerResult,0,13,0,0,0,5,0,3,0,3
mail-verify-backend,at.fhv.mail_verify.models,History,7,8,0,0,3,2,2,1,2,1
mail-verify-backend,at.fhv.mail_verify.endpoints,AuthEndpoint,4,17,0,0,2,3,1,2,1,2
mail-verify-backend,at.fhv.mail_verify.endpoints,VerificationEndpoint,0,11,0,0,0,3,0,2,0,2
mail-verify-backend,at.fhv.mail_verify.endpoints,HistoryEndpoint,4,3,0,0,1,1,1,1,1,1
mail-verify-backend,at.fhv.mail_verify.handlers,VerificationHandler,68,37,3,9,12,11,2,7,0,3
mail-verify-backend,at.fhv.mail_verify.handlers,AuthHandler,41,70,8,6,9,16,7,5,2,3
mail-verify-backend,at.fhv.mail_verify.handlers,HistoryHandler,32,22,1,5,9,7,2,5,1,3
mail-verify-backend,at.fhv.mail_verify,Application,13,0,0,0,4,0,3,0,3,0
mail-verify-backend,at.fhv.mail_verify,Application.new WebMvcConfigurerAdapter() {...},44,0,0,0,4,0,2,0,2,0
