GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mail-verify-backend,at.fhv.mail_verify.models,HistoryItem,33,0,0,0,13,0,7,0,7,0
mail-verify-backend,at.fhv.mail_verify.models,User,33,0,0,0,13,0,7,0,7,0
mail-verify-backend,at.fhv.mail_verify.models,VerResult,13,0,0,0,5,0,3,0,3,0
mail-verify-backend,at.fhv.mail_verify.models,History,15,0,0,0,5,0,3,0,3,0
mail-verify-backend,at.fhv.mail_verify.endpoints,AuthEndpoint,21,0,0,0,5,0,3,0,3,0
mail-verify-backend,at.fhv.mail_verify.endpoints,VerificationEndpoint,11,0,0,0,3,0,2,0,2,0
mail-verify-backend,at.fhv.mail_verify.endpoints,HistoryEndpoint,7,0,0,0,2,0,2,0,2,0
mail-verify-backend,at.fhv.mail_verify.handlers,VerificationHandler,94,11,11,1,18,5,7,2,1,2
mail-verify-backend,at.fhv.mail_verify.handlers,AuthHandler,111,0,14,0,25,0,12,0,5,0
mail-verify-backend,at.fhv.mail_verify.handlers,HistoryHandler,43,11,5,1,11,5,5,2,2,2
mail-verify-backend,at.fhv.mail_verify,Application,13,0,0,0,4,0,3,0,3,0
mail-verify-backend,at.fhv.mail_verify,Application.new WebMvcConfigurerAdapter() {...},44,0,0,0,4,0,2,0,2,0
